,AUTEURS,DATES,LIENS,RUBRIQUES
0,Geac, 07/12/2004,https://www.decideo.fr/Geac-annonce-d-excellents-resultats-de-performance-pour-la-solution-Geac-MPC-sur-plateforme-Microsoft_a345.html,comunique
0,Oracle, 07/12/2004,https://www.decideo.fr/Oracle-annonce-Oracle-Business-Integration-une-offre-complete-d-integration-pour-les-applications-d-entreprises_a346.html,comunique
0,Oracle, 07/12/2004,https://www.decideo.fr/Oracle-annonce-Oracle-Database-10g-Version-2_a347.html,comunique
0,Informatica, 07/12/2004,https://www.decideo.fr/Informatica-renforce-ses-engagements-vis-a-vis-des-utilisateurs-de-la-plate-forme-SAP-Netweaver_a348.html,comunique
0,IDS Scheer, 09/12/2004,https://www.decideo.fr/IDS-Scheer-annonce-son-partenariat-avec-BSCol-CEE_a349.html,comunique
0,Interlogiciel, 10/12/2004,https://www.decideo.fr/Interlogiciel-offre-un-Noel-Decisionnel-en-Or-aux-utilisateurs-de-son-ERP-DIVALTO_a351.html,comunique
0,Business Objects, 15/12/2004,https://www.decideo.fr/BUSINESS-OBJECTS-PROPOSE-DE-NOUVELLES-SOLUTIONS-DESTINEES-AUX-FABRICANTS-DE-PRODUITS-DE-GRANDE-CONSOMMATION_a364.html,comunique
0,Business Objects, 15/12/2004,https://www.decideo.fr/BUSINESS-OBJECTS-PUBLIE-DE-NOUVELLES-SOLUTIONS-ANALYTIQUES-POUR-LE-MARCHE-DE-LA-DISTRIBUTION_a365.html,comunique
0,Business Objects, 15/12/2004,https://www.decideo.fr/JCDECAUX-S-EQUIPE-DE-DASHBOARD-MANAGER-ET-CAPITALISE-SUR-SON-INFRASTRUCTURE-BUSINESS-OBJECTS_a366.html,comunique
0,Microstrategy, 16/12/2004,https://www.decideo.fr/SFR-deuxieme-acteur-de-la-telephonie-francaise-choisit-MicroStrategy-pour-ses-besoins-d-analyses-avancees-en-matiere_a358.html,comunique
0,Aexis, 17/12/2004,https://www.decideo.fr/La-solution-analytique-Applix-TM1-distribuee-par-Aexis-s-integre-parfaitement-a-Microsoft-SQL-Server-2000-Reporting_a360.html,comunique
0,DataMirror, 17/12/2004,https://www.decideo.fr/DataMirror-numero-un-de-l-innovation-en-matiere-de-technologie-ETL_a562.html,comunique
0,Business Objects, 21/12/2004,https://www.decideo.fr/LE-CONSEIL-GENERAL-DU-VAL-D-OISE-OPTIMISE-SES-SERVICES-ET-SES-BUDGETS-GRACE-A-DASHBOARD-MANAGER_a370.html,comunique
0,Cognos, 22/12/2004,https://www.decideo.fr/COGNOS-PRESENTE-LES-RESULTATS-DU-TROISIEME-TRIMESTRE-DE-SON-EXERCICE-FISCAL-2005_a368.html,comunique
0,Business & Décision, 22/12/2004,https://www.decideo.fr/Business-Decision-reconnu-comme-integrateur-leader-en-business-intelligence-par-deux-cabinets-d-analyse_a369.html,comunique
